MD,date_time_pd,CT_INC,CT_AZI,ST_INC,ST_AZI,GX,GY,GZ,BX,BY,BZ,CC_RPM,RPM_LT,RPM_UT,RX,RY,AXLSHKPEAK,AXLSHKRMS,RADSHKRMS,RADSHKPEAK,mwd_md,date_time_mwd,mwd_incl,mwd_azim
1780.0000,2025-02-21 08:00:00.000,26.01485,104.26970,25.97003,104.50816,-0.4303664,0.8842290,0.1602942,-0.9088213,-0.0494403,-0.1723602,-0.5342,-0.7145,0.1557,0.9837116,0.1781430,0.198254,0.053851,0.054923,0.227704,1779.9977,2025-02-21 08:00:00.000,26.04972,104.48949
1780.0000,2025-02-21 08:00:00.200,25.97133,104.42887,,,-0.4327238,0.8779770,0.1447498,-0.9017362,-0.0529114,-0.1737208,0.4262,0.4965,0.4954,0.9690550,0.2036980,,,,,1780.0074,2025-02-21 08:00:00.200,25.95524,104.29839
1780.0000,2025-02-21 08:00:00.400,26.00030,104.43849,,,-0.4373217,0.8814417,0.1312685,-0.8945718,-0.0498258,-0.1689426,0.6522,0.2571,3.1402,0.9863553,0.1473091,,,,,1780.0014,2025-02-21 08:00:00.400,26.01316,104.72266
1780.0000,2025-02-21 08:00:00.600,26.01089,104.84665,,,-0.4294293,0.8785531,0.1426401,-0.9020434,-0.0522083,-0.1762574,-0.2433,0.3977,1.4167,0.9723334,0.1844205,,,,,1779.9598,2025-02-21 08:00:00.600,25.94200,104.74720
1780.0000,2025-02-21 08:00:00.800,26.01706,105.37051,,,-0.4432726,0.8959124,0.1273679,-0.9011687,-0.0607308,-0.1641266,0.9330,-0.0972,0.4033,0.9869782,0.1170520,0.145533,0.055250,0.061988,0.275387,1779.9481,2025-02-21 08:00:00.800,25.93311,105.07092
1780.0001,2025-02-21 08:00:01.000,26.03656,103.13442,,,-0.4430760,0.8880382,0.1246917,-0.9086438,-0.0538004,-0.1755843,0.4370,-1.1086,0.4426,1.0034982,0.1179144,,,,,1780.0324,2025-02-21 08:00:01.000,25.98308,103.56056
1780.0001,2025-02-21 08:00:01.200,25.97425,105.59455,,,-0.4335786,0.9043851,0.1342618,-0.8996629,-0.0622884,-0.1736473,-0.2559,-1.1115,2.2289,0.9828209,0.1555797,,,,,1780.0360,2025-02-21 08:00:01.200,25.94215,105.63277
1780.0004,2025-02-21 08:00:01.400,25.97683,105.42776,,,-0.4360211,0.8921898,0.1232222,-0.9025504,-0.0554732,-0.1627991,-0.1526,-1.0199,3.4357,0.9781435,0.1280372,,,,,1779.9444,2025-02-21 08:00:01.400,25.99520,105.40177
1780.0004,2025-02-21 08:00:01.600,26.01689,104.24234,,,-0.4230015,0.8883628,0.1108682,-0.8990598,-0.0687790,-0.1739343,1.0159,-0.8286,0.7341,0.9777667,0.1464576,0.108599,0.035371,0.051997,0.154917,1779.9322,2025-02-21 08:00:01.600,25.97896,103.83194
1780.0005,2025-02-21 08:00:01.800,26.00289,103.97220,,,-0.4371636,0.8887670,0.0974631,-0.8998853,-0.0579835,-0.1678055,-0.3438,0.4427,0.6794,0.9946704,0.1320619,,,,,1779.9141,2025-02-21 08:00:01.800,26.03380,104.39799
1780.0017,2025-02-21 08:00:02.000,25.99716,104.55911,,,-0.4542005,0.8923416,0.1219006,-0.8944861,-0.0598816,-0.1736356,-0.2344,1.7611,0.7715,1.0060832,0.1255815,,,,,1779.9920,2025-02-21 08:00:02.000,26.02076,104.51064
1780.0017,2025-02-21 08:00:02.200,25.99355,104.41801,,,-0.4260508,0.8989993,0.1143182,-0.9090548,-0.0691434,-0.1751887,0.0849,0.3335,3.6420,0.9881579,0.1821793,,,,,1780.0376,2025-02-21 08:00:02.200,25.95345,104.50932
1780.0017,2025-02-21 08:00:02.400,25.99388,104.69179,,,-0.4309004,0.9006828,0.1172754,-0.8960837,-0.0573100,-0.1686748,0.2506,0.7986,2.0566,0.9562763,0.1158924,0.219412,0.050809,0.042386,0.129707,1780.0312,2025-02-21 08:00:02.400,25.99023,104.49662
1780.0023,2025-02-21 08:00:02.600,25.99075,104.85333,,,-0.4456933,0.8646739,0.1222257,-0.9003752,-0.0605150,-0.1779468,-0.3294,-0.2515,0.8440,0.9901652,0.1340675,,,,,1780.0256,2025-02-21 08:00:02.600,25.98271,104.40012
1780.0023,2025-02-21 08:00:02.800,25.98209,104.14118,,,-0.4297788,0.9058501,0.1215620,-0.8915522,-0.0489050,-0.1653333,-0.3682,0.9808,1.0378,0.9810630,0.1491761,,,,,1779.9014,2025-02-21 08:00:02.800,25.98180,104.20310
1780.0023,2025-02-21 08:00:03.000,25.95565,104.23232,,,-0.4339096,0.8751247,0.1270125,-0.9107872,-0.0509136,-0.1719278,-0.5026,-0.4836,2.3455,0.9865353,0.1598815,,,,,1780.1010,2025-02-21 08:00:03.000,26.00416,104.40624
1780.0023,2025-02-21 08:00:03.200,26.00165,105.15430,,,-0.4492158,0.8866063,0.1511918,-0.8841404,-0.0572772,-0.1627085,-0.6256,0.2838,2.5858,0.9958927,0.1803862,0.168020,0.048005,0.052564,0.149977,1779.9689,2025-02-21 08:00:03.200,26.01239,105.16320
1780.0023,2025-02-21 08:00:03.400,26.02960,105.92123,,,-0.4295323,0.8962021,0.1623490,-0.8954986,-0.0603268,-0.1841848,-0.5745,-0.2543,0.6581,0.9983935,0.1781925,,,,,1779.9391,2025-02-21 08:00:03.400,26.01157,105.97693
1780.0023,2025-02-21 08:00:03.600,25.98638,104.68198,,,-0.4347641,0.8531232,0.1781251,-0.9049899,-0.0517939,-0.1664717,-0.6019,-0.4288,1.8007,0.9686446,0.1800390,,,,,1779.8767,2025-02-21 08:00:03.600,25.99653,104.64026
1780.0023,2025-02-21 08:00:03.800,25.96759,106.91122,,,-0.4535970,0.8965254,0.1831582,-0.8973111,-0.0492396,-0.1714578,-0.1735,0.7033,2.2545,0.9624873,0.2055023,,,,,1780.0024,2025-02-21 08:00:03.800,25.93549,106.57083
1780.0023,2025-02-21 08:00:04.000,25.99031,106.16576,,,-0.4214403,0.8747172,0.1813355,-0.9090720,-0.0490569,-0.1666909,-0.6972,-0.2986,3.6021,0.9769064,0.1992753,0.130465,0.048101,0.042728,0.125889,1780.0492,2025-02-21 08:00:04.000,25.99469,106.14091
1780.0023,2025-02-21 08:00:04.200,25.99663,104.99335,,,-0.4449896,0.8964094,0.1920106,-0.8984039,-0.0474815,-0.1652131,0.7313,0.6159,1.8476,0.9736856,0.2107575,,,,,1779.9421,2025-02-21 08:00:04.200,25.94486,105.17477
1780.0024,2025-02-21 08:00:04.400,26.00537,104.31538,,,-0.4590535,0.8718014,0.1629813,-0.9043655,-0.0472411,-0.1668326,-0.1620,-0.1534,-0.3422,1.0048598,0.2019899,,,,,1779.9571,2025-02-21 08:00:04.400,25.92543,104.53893
1780.0030,2025-02-21 08:00:04.600,26.02859,106.86530,,,-0.4399629,0.8659440,0.1576397,-0.8878544,-0.0380715,-0.1796850,0.0308,0.0101,1.2948,0.9783388,0.1899506,,,,,1780.0922,2025-02-21 08:00:04.600,26.00728,106.34142
1780.0032,2025-02-21 08:00:04.800,25.98393,104.27794,,,-0.4269827,0.8833818,0.2004384,-0.9014259,-0.0493510,-0.1753826,-0.8026,0.6273,3.6915,0.9576940,0.1928631,0.122550,0.040649,0.055787,0.244217,1780.0308,2025-02-21 08:00:04.800,26.02989,104.85200
1780.0050,2025-02-21 08:00:05.000,26.03053,104.98510,,,-0.4343894,0.8727062,0.1682872,-0.8891506,-0.0577636,-0.1788469,0.8550,0.1160,-0.1247,1.0035275,0.1928945,,,,,1779.9487,2025-02-21 08:00:05.000,25.99169,105.89787
1780.0052,2025-02-21 08:00:05.200,25.98393,106.07205,,,-0.4278319,0.8790461,0.1861183,-0.8894104,-0.0426835,-0.1865965,-0.6109,0.2510,0.2210,0.9800130,0.2138290,,,,,1779.9456,2025-02-21 08:00:05.200,25.98640,106.38280
1780.0053,2025-02-21 08:00:05.400,26.02283,106.54625,,,-0.4441742,0.8704111,0.1877821,-0.9038105,-0.0471247,-0.1856474,-0.7267,0.2214,0.6549,0.9358002,0.2364638,,,,,1780.0200,2025-02-21 08:00:05.400,25.96381,106.54504
1780.0064,2025-02-21 08:00:05.600,25.98771,105.69820,,,-0.4245033,0.8741651,0.2148361,-0.8916583,-0.0461187,-0.1719140,-0.0863,1.5753,-0.1484,0.9494360,0.2126488,0.177971,0.044115,0.045238,0.194109,1779.9878,2025-02-21 08:00:05.600,25.96476,105.62066
1780.0067,2025-02-21 08:00:05.800,25.98099,108.52742,,,-0.4533367,0.8805653,0.2144983,-0.8970921,-0.0356087,-0.1720500,-0.5304,-0.0127,-0.1648,0.9757573,0.2565291,,,,,1780.1122,2025-02-21 08:00:05.800,25.97465,108.67338
1780.0067,2025-02-21 08:00:06.000,25.97557,107.33781,,,-0.4235637,0.8710958,0.2007402,-0.8995979,-0.0604706,-0.1732612,0.3783,-0.3705,-0.1744,0.9777876,0.2388069,,,,,1780.0316,2025-02-21 08:00:06.000,25.96505,107.11805
1780.0075,2025-02-21 08:00:06.200,26.01891,108.45881,,,-0.4269673,0.8796339,0.2261229,-0.8918000,-0.0341277,-0.1807208,-0.7520,-0.2657,0.7583,0.9636526,0.2604309,,,,,1779.9222,2025-02-21 08:00:06.200,26.02323,107.82121
1780.0092,2025-02-21 08:00:06.400,25.97717,109.84388,,,-0.4461235,0.8687624,0.2466509,-0.9047927,-0.0253291,-0.1880135,-0.7517,-0.1250,0.6930,0.9829820,0.2554963,0.187242,0.044107,0.052670,0.236222,1779.9607,2025-02-21 08:00:06.400,26.00376,109.56169
1780.0099,2025-02-21 08:00:06.600,26.00671,107.75073,,,-0.4361172,0.8576742,0.2505646,-0.8982771,-0.0462165,-0.1805642,-0.5647,-0.4710,-0.5849,0.9708658,0.2476317,,,,,1779.9757,2025-02-21 08:00:06.600,26.01821,108.03460
1780.0107,2025-02-21 08:00:06.800,26.05304,107.46197,,,-0.4402735,0.8661213,0.2634999,-0.8996671,-0.0383618,-0.1684246,-0.4545,-0.1610,-0.4488,0.9750504,0.2762490,,,,,1779.9594,2025-02-21 08:00:06.800,25.93628,107.43635
1780.0107,2025-02-21 08:00:07.000,25.99490,109.51058,,,-0.4389621,0.8610452,0.2501558,-0.9006033,-0.0327493,-0.1984065,-0.1233,-0.3198,-0.5233,0.9639851,0.2865005,,,,,1780.0616,2025-02-21 08:00:07.000,26.02700,109.56205
1780.0107,2025-02-21 08:00:07.200,26.00666,108.69659,,,-0.4384956,0.8812264,0.2110196,-0.8963870,-0.0325428,-0.1810157,1.9436,0.3576,0.2864,0.9651721,0.2492641,0.126430,0.038410,0.054349,0.166248,1779.9867,2025-02-21 08:00:07.200,25.96627,108.37555
1780.0107,2025-02-21 08:00:07.400,25.98820,108.33046,,,-0.4538576,0.8790177,0.2316942,-0.8957767,-0.0334944,-0.1854529,-0.1118,-0.4767,-0.5805,0.9947343,0.2397653,,,,,1780.0483,2025-02-21 08:00:07.400,25.94892,108.15390
1780.0107,2025-02-21 08:00:07.600,26.00159,106.49218,,,-0.4570499,0.8792795,0.2135895,-0.8986633,-0.0531722,-0.1860465,0.7394,-0.5245,1.7046,0.9879701,0.1932323,,,,,1779.9459,2025-02-21 08:00:07.600,26.07946,106.88364
1780.0116,2025-02-21 08:00:07.800,26.00374,106.34715,,,-0.4373286,0.8724926,0.1960940,-0.9064440,-0.0457257,-0.1749430,0.2087,0.6452,-0.3365,0.9641155,0.2317733,,,,,1779.9307,2025-02-21 08:00:07.800,25.94588,106.37502
1780.0117,2025-02-21 08:00:08.000,25.98834,106.28119,,,-0.4526826,0.8806350,0.1760534,-0.8976528,-0.0407535,-0.1581153,0.4676,-0.6278,1.7777,1.0092445,0.2179637,0.144697,0.045494,0.047091,0.211735,1780.0646,2025-02-21 08:00:08.000,25.95727,106.15000
1780.0122,2025-02-21 08:00:08.200,25.98263,105.57343,,,-0.4376590,0.8841866,0.1922303,-0.8971070,-0.0523798,-0.1794851,0.5764,-0.7669,1.9807,0.9758851,0.1836734,,,,,1780.0051,2025-02-21 08:00:08.200,25.98279,105.94341
1780.0122,2025-02-21 08:00:08.400,25.97682,105.64792,,,-0.4498171,0.8865183,0.1768045,-0.9015380,-0.0573661,-0.1869652,0.7270,-0.9839,0.0339,0.9814752,0.1904758,,,,,1779.9842,2025-02-21 08:00:08.400,26.00727,105.73001
1780.0122,2025-02-21 08:00:08.600,26.00846,105.40067,,,-0.4474347,0.8791499,0.1552710,-0.8946041,-0.0609874,-0.1808622,0.8812,-1.0858,1.4640,0.9924263,0.1548590,,,,,1779.9527,2025-02-21 08:00:08.600,25.99300,105.34283
