MD,date_time_pd,CT_INC,CT_AZI,ST_INC,ST_AZI,GX,GY,GZ,BX,BY,BZ,CC_RPM,RPM_LT,RPM_UT,RX,RY,AXLSHKPEAK,AXLSHKRMS,RADSHKRMS,RADSHKPEAK,mwd_md,date_time_mwd,mwd_incl,mwd_azim
1120.0000,2025-01-01 08:00:00.000,15.49057,11.96560,15.45983,12.52833,-0.2613303,0.3305418,0.9137633,0.2678809,-0.5971703,0.6419471,0.1500,3.6833,1.5575,0.3412509,0.9155125,0.122319,0.039763,0.060290,0.277096,1119.9989,2025-01-01 08:00:00.000,15.48401,12.34157
1120.0005,2025-01-01 08:00:00.200,15.49435,6.95909,,,-0.2560021,0.3636356,0.9082589,0.2688009,-0.5868646,0.6581442,0.0922,0.9375,0.8459,0.3528913,0.9501504,,,,,1119.9665,2025-01-01 08:00:00.200,15.51974,7.38544
1120.0010,2025-01-01 08:00:00.400,15.52440,11.55055,,,-0.2745196,0.3414905,0.9084059,0.2652930,-0.5848251,0.6541601,0.0759,0.5281,0.2582,0.3789339,0.9429847,,,,,1120.0874,2025-01-01 08:00:00.400,15.49453,11.04153
1120.0012,2025-01-01 08:00:00.600,15.50412,10.71629,,,-0.2591381,0.3306347,0.8996914,0.2626356,-0.5781745,0.6550959,0.2496,2.2022,0.5305,0.3585905,0.9414770,,,,,1120.0613,2025-01-01 08:00:00.600,15.55524,10.88624
1120.0012,2025-01-01 08:00:00.800,15.45779,8.12800,,,-0.2639795,0.3550916,0.9000363,0.2655255,-0.5789427,0.6646003,0.7365,0.5191,0.0232,0.3812443,0.9317326,0.140500,0.036884,0.044700,0.123196,1120.0025,2025-01-01 08:00:00.800,15.47262,8.08957
1120.0016,2025-01-01 08:00:01.000,15.48360,8.75938,,,-0.2568143,0.3518880,0.9016213,0.2613675,-0.5754811,0.6709345,0.0440,1.7060,4.6069,0.3740572,0.9417207,,,,,1120.0589,2025-01-01 08:00:01.000,15.45902,8.42747
1120.0016,2025-01-01 08:00:01.200,15.46650,6.88410,,,-0.2687426,0.3700922,0.9018305,0.2676506,-0.5506652,0.6739640,1.2035,1.9404,2.1395,0.3795082,0.9294330,,,,,1120.0264,2025-01-01 08:00:01.200,15.59816,7.08528
1120.0017,2025-01-01 08:00:01.400,15.51214,4.07578,,,-0.2319974,0.3814359,0.8910719,0.2640160,-0.5579075,0.6777791,0.0482,0.6629,0.6906,0.3807317,0.9137887,,,,,1120.0073,2025-01-01 08:00:01.400,15.48530,3.92707
1120.0020,2025-01-01 08:00:01.600,15.48195,6.31733,,,-0.2756069,0.3965922,0.8857172,0.2699263,-0.5270491,0.7013780,1.5316,0.5086,1.5002,0.4169337,0.9111831,0.129130,0.042294,0.049321,0.162187,1119.9953,2025-01-01 08:00:01.600,15.41655,6.27619
1120.0020,2025-01-01 08:00:01.800,15.50196,2.09094,,,-0.2693521,0.4364532,0.8343863,0.2696737,-0.5140533,0.7078798,0.9778,0.4968,0.1802,0.4259567,0.8967770,,,,,1120.0903,2025-01-01 08:00:01.800,15.43160,2.35538
1120.0025,2025-01-01 08:00:02.000,15.49730,2.20233,,,-0.2642182,0.4291269,0.8730278,0.2544263,-0.5217292,0.7054663,-0.0540,0.0657,0.2581,0.4384853,0.9011471,,,,,1120.0137,2025-01-01 08:00:02.000,15.45238,2.90578
1120.0031,2025-01-01 08:00:02.200,15.52903,2.09627,,,-0.2692651,0.4230509,0.8521545,0.2682436,-0.5086828,0.7077250,0.7393,0.1713,0.1348,0.4525062,0.8778082,,,,,1119.9975,2025-01-01 08:00:02.200,15.56483,2.09082
1120.0038,2025-01-01 08:00:02.400,15.50916,0.81116,,,-0.2522706,0.4452592,0.8687066,0.2726674,-0.5049938,0.7038617,0.1167,0.5896,2.5539,0.4482964,0.8996241,0.132666,0.035620,0.044021,0.176593,1119.9949,2025-01-01 08:00:02.400,15.47644,0.51582
1120.0040,2025-01-01 08:00:02.600,15.51772,1.21885,,,-0.2497358,0.4214816,0.8648690,0.2633915,-0.5131786,0.7185746,-0.1788,0.5263,0.3690,0.4465454,0.9415500,,,,,1120.0760,2025-01-01 08:00:02.600,15.52119,1.37120
1120.0040,2025-01-01 08:00:02.800,15.50425,3.97846,,,-0.2658895,0.4232272,0.8435488,0.2716231,-0.5144773,0.7249033,0.0160,2.3995,0.1587,0.4612226,0.9039017,,,,,1120.0008,2025-01-01 08:00:02.800,15.53044,3.68632
1120.0042,2025-01-01 08:00:03.000,15.49135,2.26226,,,-0.2582570,0.4313481,0.8461251,0.2613766,-0.5091061,0.7210972,-0.2637,0.7061,0.2501,0.4413478,0.9062715,,,,,1120.0396,2025-01-01 08:00:03.000,15.53281,1.88698
1120.0042,2025-01-01 08:00:03.200,15.51083,4.09935,,,-0.2691290,0.4483203,0.8759565,0.2528258,-0.5093642,0.7209558,0.5449,0.6663,0.1983,0.4378666,0.9056415,0.114303,0.037994,0.043962,0.120469,1120.0144,2025-01-01 08:00:03.200,15.50568,3.99853
1120.0042,2025-01-01 08:00:03.400,15.49032,2.61051,,,-0.2770561,0.4494409,0.8509932,0.2702627,-0.5065916,0.7229683,-0.0625,0.5219,1.4042,0.4563583,0.9177389,,,,,1120.0595,2025-01-01 08:00:03.400,15.48326,2.93137
1120.0056,2025-01-01 08:00:03.600,15.49198,1.29397,,,-0.2694935,0.4462823,0.8425485,0.2702267,-0.5026815,0.7267564,-0.1673,0.7333,2.3411,0.4506028,0.8764432,,,,,1119.9472,2025-01-01 08:00:03.600,15.45940,1.42580
1120.0067,2025-01-01 08:00:03.800,15.48614,2.17585,,,-0.2563467,0.4279687,0.8677151,0.2574383,-0.5141674,0.7128346,-0.1410,2.4455,3.9123,0.4691489,0.8954601,,,,,1120.0823,2025-01-01 08:00:03.800,15.51668,1.83462
1120.0072,2025-01-01 08:00:04.000,15.48484,2.31459,,,-0.2684584,0.4352284,0.8749875,0.2677502,-0.5029005,0.7158832,0.1799,1.4255,0.2122,0.4583515,0.8857834,0.104483,0.036198,0.056455,0.144263,1119.9961,2025-01-01 08:00:04.000,15.54221,1.84496
1120.0074,2025-01-01 08:00:04.200,15.51633,2.91587,,,-0.2774831,0.4230551,0.8680360,0.2707297,-0.5104000,0.7236495,-0.1815,1.6770,0.6032,0.4726707,0.9039758,,,,,1120.0239,2025-01-01 08:00:04.200,15.46545,3.22942
1120.0074,2025-01-01 08:00:04.400,15.48812,2.10762,,,-0.2576560,0.4377618,0.8553898,0.2577643,-0.5162384,0.7030469,-0.3444,0.5213,0.3031,0.4287946,0.8996147,,,,,1119.9702,2025-01-01 08:00:04.400,15.44002,2.63974
1120.0076,2025-01-01 08:00:04.600,15.48064,4.24546,,,-0.2760077,0.4242602,0.8578252,0.2564544,-0.5241427,0.7027180,-0.3742,0.6791,0.3640,0.4489429,0.9032304,,,,,1120.0742,2025-01-01 08:00:04.600,15.46632,4.30280
1120.0076,2025-01-01 08:00:04.800,15.53135,4.95096,,,-0.2791336,0.4068453,0.8756767,0.2627670,-0.5199473,0.7077287,-0.2837,1.5964,0.8496,0.4359583,0.8910861,0.150537,0.035362,0.049602,0.228838,1119.9371,2025-01-01 08:00:04.800,15.49898,5.18207
1120.0076,2025-01-01 08:00:05.000,15.52366,4.36533,,,-0.2600291,0.4030356,0.8767502,0.2654872,-0.5332151,0.6951269,-0.2775,3.8434,-0.2290,0.4600633,0.9172447,,,,,1120.0232,2025-01-01 08:00:05.000,15.49842,4.07848
1120.0077,2025-01-01 08:00:05.200,15.50925,6.17100,,,-0.2724410,0.4057342,0.8543314,0.2733880,-0.5355675,0.6932196,-0.3917,1.0514,4.3354,0.4180096,0.9388783,,,,,1120.0589,2025-01-01 08:00:05.200,15.46546,5.91216
1120.0077,2025-01-01 08:00:05.400,15.51697,4.21849,,,-0.2681286,0.4034543,0.8731511,0.2656526,-0.5252361,0.6903325,-0.2605,0.8323,-0.0188,0.4130067,0.9144464,,,,,1120.0111,2025-01-01 08:00:05.400,15.46358,4.16767
1120.0079,2025-01-01 08:00:05.600,15.53521,4.59766,,,-0.2551483,0.3992957,0.8738599,0.2624704,-0.5382160,0.6849160,-0.2029,0.6210,0.3984,0.4114954,0.9094516,0.174238,0.044232,0.053044,0.224155,1119.9107,2025-01-01 08:00:05.600,15.46947,4.68603
1120.0079,2025-01-01 08:00:05.800,15.48017,7.01161,,,-0.2779503,0.3882300,0.8883129,0.2658535,-0.5430639,0.6924576,-0.0989,1.2020,0.1424,0.4133764,0.9144688,,,,,1119.9765,2025-01-01 08:00:05.800,15.54314,6.74379
1120.0079,2025-01-01 08:00:06.000,15.51882,6.75816,,,-0.2777469,0.3854298,0.8861400,0.2565215,-0.5390228,0.6953570,0.2175,1.0830,2.8170,0.4169013,0.9332839,,,,,1120.0131,2025-01-01 08:00:06.000,15.51973,6.82063
1120.0080,2025-01-01 08:00:06.200,15.50496,3.59844,,,-0.2802469,0.4207843,0.8566966,0.2817532,-0.5195671,0.7029577,1.2928,1.1152,0.9529,0.4426531,0.8970010,,,,,1119.9814,2025-01-01 08:00:06.200,15.50915,3.83948
1120.0080,2025-01-01 08:00:06.400,15.51492,2.59315,,,-0.2947759,0.4535541,0.8388012,0.2796925,-0.5005471,0.7277416,1.8255,2.7503,0.4972,0.4742758,0.8953507,0.186348,0.045108,0.050062,0.230887,1119.9948,2025-01-01 08:00:06.400,15.53032,2.17971
1120.0084,2025-01-01 08:00:06.600,15.52304,3.34251,,,-0.2788911,0.4544541,0.8585942,0.2626549,-0.5018760,0.7323918,-0.2569,1.1987,1.3505,0.4770374,0.8951655,,,,,1120.0727,2025-01-01 08:00:06.600,15.55664,2.93966
1120.0090,2025-01-01 08:00:06.800,15.51419,1.18582,,,-0.2595344,0.4548041,0.8262026,0.2624653,-0.4995134,0.7209813,0.2670,1.0095,0.2495,0.4801528,0.8683206,,,,,1120.0115,2025-01-01 08:00:06.800,15.49580,1.29110
1120.0090,2025-01-01 08:00:07.000,15.52444,2.08811,,,-0.2555202,0.4292435,0.8398308,0.2626739,-0.4960241,0.7180880,-0.1047,1.8163,1.7697,0.4745933,0.9150237,,,,,1120.0788,2025-01-01 08:00:07.000,15.57241,2.69892
1120.0090,2025-01-01 08:00:07.200,15.50386,0.48122,,,-0.2561411,0.4656865,0.8490465,0.2650839,-0.4925559,0.7232625,0.0785,1.4303,0.3459,0.4733455,0.8975676,0.135061,0.047072,0.061244,0.251681,1120.0110,2025-01-01 08:00:07.200,15.51885,1.05338
1120.0092,2025-01-01 08:00:07.400,15.55433,359.24512,,,-0.2601307,0.4747524,0.8501497,0.2719058,-0.4759501,0.7265326,0.9650,1.5496,0.4055,0.4915350,0.8566057,,,,,1120.0669,2025-01-01 08:00:07.400,15.48779,358.87078
1120.0092,2025-01-01 08:00:07.600,15.49744,358.99179,,,-0.2609304,0.4827019,0.8340101,0.2567096,-0.4728106,0.7375779,0.4395,1.4319,1.9567,0.4737458,0.8756180,,,,,1120.0339,2025-01-01 08:00:07.600,15.47926,359.57941
1120.0103,2025-01-01 08:00:07.800,15.49592,359.93247,,,-0.2705855,0.4988840,0.8069869,0.2615595,-0.4553490,0.7633223,1.3751,1.4208,0.2140,0.5371655,0.8740481,,,,,1120.0091,2025-01-01 08:00:07.800,15.51906,0.02459
1120.0103,2025-01-01 08:00:08.000,15.46651,356.97266,,,-0.2725743,0.5366634,0.7947735,0.2643782,-0.4225005,0.7656426,1.6006,0.9996,3.1381,0.5482111,0.8109489,0.212849,0.047849,0.050435,0.219126,1119.9852,2025-01-01 08:00:08.000,15.48836,357.19466
1120.0103,2025-01-01 08:00:08.200,15.49329,356.68842,,,-0.2705378,0.5256836,0.8188872,0.2647141,-0.4292911,0.7653471,0.1845,1.6839,0.1590,0.5479051,0.8595919,,,,,1119.9628,2025-01-01 08:00:08.200,15.46302,356.93893
1120.0103,2025-01-01 08:00:08.400,15.51303,354.87852,,,-0.2590499,0.5736015,0.7819201,0.2649343,-0.4045267,0.7844864,1.3485,0.6487,1.5100,0.5684737,0.7977520,,,,,1119.9034,2025-01-01 08:00:08.400,15.51369,354.66923
