MD,date_time_pd,CT_INC,CT_AZI,ST_INC,ST_AZI,GX,GY,GZ,BX,BY,BZ,CC_RPM,RPM_LT,RPM_UT,RX,RY,AXLSHKPEAK,AXLSHKRMS,RADSHKRMS,RADSHKPEAK,mwd_md,date_time_mwd,mwd_incl,mwd_azim
1340.0001,2025-01-18 08:00:00.000,19.02885,35.49486,19.01264,35.68355,-0.3151553,0.6146936,0.7106042,-0.3374212,-0.4729902,0.7122906,0.6920,-0.0692,0.9752,0.6416187,0.7586194,0.168075,0.042703,0.057620,0.246965,1339.9813,2025-01-18 08:00:00.000,18.96904,35.70224
1340.0002,2025-01-18 08:00:00.200,18.98738,37.67073,,,-0.3136347,0.6111771,0.7149625,-0.3365885,-0.4756976,0.7071893,0.4277,1.6810,1.0494,0.6503810,0.7729828,,,,,1340.0132,2025-01-18 08:00:00.200,18.99500,37.90486
1340.0011,2025-01-18 08:00:00.400,19.00920,36.53829,,,-0.3312702,0.6185916,0.7085757,-0.3447022,-0.4551269,0.7260735,0.5532,1.5470,0.9063,0.6515336,0.7456367,,,,,1339.9331,2025-01-18 08:00:00.400,19.05112,37.17301
1340.0013,2025-01-18 08:00:00.600,18.97689,36.05979,,,-0.3362682,0.6520794,0.6848288,-0.3433032,-0.4411697,0.7157299,1.5455,0.2767,0.5903,0.6997275,0.7480336,,,,,1339.9831,2025-01-18 08:00:00.600,18.99547,36.46168
1340.0020,2025-01-18 08:00:00.800,19.00082,33.63098,,,-0.3171148,0.6825111,0.6641543,-0.3379230,-0.4055765,0.7384343,1.7390,3.2724,0.1167,0.7161304,0.7033610,0.155894,0.042856,0.050196,0.187170,1339.9418,2025-01-18 08:00:00.800,19.01048,33.36124
1340.0023,2025-01-18 08:00:01.000,18.97290,34.82161,,,-0.3353767,0.7011191,0.6538731,-0.3363558,-0.4143649,0.7456780,0.6441,0.9400,0.6938,0.7201803,0.6910046,,,,,1339.9604,2025-01-18 08:00:01.000,18.98428,34.04244
1340.0026,2025-01-18 08:00:01.200,18.99330,32.86287,,,-0.3221344,0.7023694,0.6381825,-0.3406653,-0.3964840,0.7599995,0.6542,4.4155,0.4934,0.7624882,0.6557178,,,,,1339.9915,2025-01-18 08:00:01.200,18.94666,33.19157
1340.0026,2025-01-18 08:00:01.400,18.98235,32.31431,,,-0.3174086,0.7009109,0.6501856,-0.3445852,-0.3825929,0.7694889,0.3223,1.1070,0.1076,0.7297263,0.6579085,,,,,1339.9044,2025-01-18 08:00:01.400,19.00569,32.43749
1340.0026,2025-01-18 08:00:01.600,19.00760,33.20272,,,-0.3324803,0.6960365,0.6333800,-0.3463794,-0.3802524,0.7640092,0.5292,1.1730,-0.0773,0.7600849,0.6610591,0.107826,0.035939,0.048370,0.199479,1340.0012,2025-01-18 08:00:01.600,19.04823,33.39066
1340.0026,2025-01-18 08:00:01.800,19.00266,33.56418,,,-0.3198789,0.7342525,0.6424357,-0.3429410,-0.3595495,0.7774157,0.3776,4.9129,-0.1442,0.7542666,0.6380225,,,,,1340.0143,2025-01-18 08:00:01.800,18.96153,33.34599
1340.0028,2025-01-18 08:00:02.000,18.97548,31.84952,,,-0.3276214,0.7344081,0.6048893,-0.3439200,-0.3603426,0.7657003,0.6002,1.2529,-0.4075,0.7844970,0.6446191,,,,,1340.0124,2025-01-18 08:00:02.000,18.91388,32.41235
1340.0029,2025-01-18 08:00:02.200,18.96736,31.43739,,,-0.3149582,0.7185031,0.5970964,-0.3486388,-0.3523936,0.7725056,0.5632,1.2553,-0.1201,0.7772141,0.6239548,,,,,1340.1143,2025-01-18 08:00:02.200,19.01449,31.39153
1340.0029,2025-01-18 08:00:02.400,19.00196,32.05562,,,-0.3215214,0.7572098,0.5877962,-0.3428806,-0.3312996,0.7897397,1.5265,1.0633,0.7766,0.7567033,0.6155977,0.247164,0.057273,0.056942,0.167080,1339.9705,2025-01-18 08:00:02.400,18.96644,32.25511
1340.0029,2025-01-18 08:00:02.600,19.02615,29.83040,,,-0.3150842,0.7645431,0.5662230,-0.3425026,-0.3184022,0.7904471,0.6295,0.5158,0.1923,0.8089585,0.6331097,,,,,1340.0592,2025-01-18 08:00:02.600,19.04385,30.74736
1340.0029,2025-01-18 08:00:02.800,18.96271,32.30710,,,-0.3481119,0.7574802,0.5701075,-0.3483911,-0.3126832,0.7950410,0.8540,0.5578,0.4941,0.8092508,0.5826694,,,,,1340.0296,2025-01-18 08:00:02.800,19.00490,32.68496
1340.0029,2025-01-18 08:00:03.000,18.99055,30.01730,,,-0.3281054,0.7676906,0.5586770,-0.3420171,-0.2753509,0.7944736,0.7437,0.5481,3.0943,0.8114070,0.5788223,,,,,1340.0897,2025-01-18 08:00:03.000,18.99690,30.03800
1340.0029,2025-01-18 08:00:03.200,18.96679,27.95784,,,-0.3344786,0.7977355,0.5047985,-0.3406750,-0.2616969,0.8103712,1.7796,0.7589,1.3240,0.8586734,0.5467075,0.146061,0.040807,0.046534,0.182365,1339.9747,2025-01-18 08:00:03.200,18.98176,28.22713
1340.0030,2025-01-18 08:00:03.400,19.00230,27.48328,,,-0.3263897,0.7955840,0.5134796,-0.3296057,-0.2569873,0.8213250,0.4272,2.5214,0.2495,0.8409730,0.5302535,,,,,1340.0571,2025-01-18 08:00:03.400,19.01859,27.54971
1340.0033,2025-01-18 08:00:03.600,19.01129,28.92847,,,-0.3225099,0.8121348,0.4984412,-0.3378464,-0.2461041,0.8180313,0.5162,0.5172,1.3822,0.8708693,0.5380010,,,,,1340.0051,2025-01-18 08:00:03.600,18.98778,28.31589
1340.0041,2025-01-18 08:00:03.800,18.99345,29.25898,,,-0.3083994,0.7935283,0.5013829,-0.3390218,-0.2355384,0.8141000,0.9352,1.6031,0.6047,0.8456010,0.5090405,,,,,1339.9850,2025-01-18 08:00:03.800,18.99493,28.63485
1340.0041,2025-01-18 08:00:04.000,18.97008,26.56745,,,-0.3347142,0.8354116,0.4478456,-0.3463444,-0.1926597,0.8318181,2.3646,1.6631,0.3431,0.9061822,0.4762625,0.212755,0.055728,0.050516,0.215484,1339.9847,2025-01-18 08:00:04.000,19.04569,26.56240
1340.0041,2025-01-18 08:00:04.200,18.94026,25.00906,,,-0.3190283,0.8593399,0.4000875,-0.3343849,-0.1505217,0.8403841,1.8700,2.6342,0.6781,0.8926609,0.4526619,,,,,1340.0803,2025-01-18 08:00:04.200,18.97096,25.27792
1340.0042,2025-01-18 08:00:04.400,19.03281,25.34400,,,-0.3227288,0.8695723,0.3864702,-0.3463245,-0.1412622,0.8317073,1.1469,2.4665,0.3407,0.9205492,0.4134222,,,,,1339.9382,2025-01-18 08:00:04.400,18.97700,25.30233
1340.0051,2025-01-18 08:00:04.600,18.96742,23.55581,,,-0.3240424,0.8745788,0.3639656,-0.3410669,-0.1308531,0.8359572,0.4282,1.0521,0.1955,0.9042527,0.3845881,,,,,1339.9916,2025-01-18 08:00:04.600,19.04753,24.36975
1340.0051,2025-01-18 08:00:04.800,18.99212,25.87869,,,-0.3320202,0.8698007,0.3587287,-0.3428725,-0.1009058,0.8348010,1.1222,0.4489,0.0210,0.9325961,0.3423896,0.191790,0.047691,0.049335,0.194570,1339.9776,2025-01-18 08:00:04.800,18.97760,25.61976
1340.0055,2025-01-18 08:00:05.000,18.98279,23.26319,,,-0.3186076,0.8779702,0.3396850,-0.3349662,-0.0999554,0.8362560,0.2806,0.1299,1.9807,0.9330045,0.3933990,,,,,1339.9925,2025-01-18 08:00:05.000,18.96967,23.05181
1340.0060,2025-01-18 08:00:05.200,18.99492,23.09125,,,-0.3081831,0.8841046,0.3590154,-0.3387699,-0.0911102,0.8539344,0.2122,0.7905,1.1585,0.9342551,0.3588776,,,,,1340.0678,2025-01-18 08:00:05.200,18.95353,23.27232
1340.0065,2025-01-18 08:00:05.400,18.97977,25.11121,,,-0.3302299,0.8800530,0.3370028,-0.3545278,-0.0718894,0.8464841,0.7530,1.9469,-0.1677,0.9551129,0.3391807,,,,,1339.9710,2025-01-18 08:00:05.400,19.02884,25.10135
1340.0065,2025-01-18 08:00:05.600,19.00905,23.85091,,,-0.3393692,0.8821130,0.3165427,-0.3470773,-0.0668406,0.8435734,1.0529,-0.1045,0.7509,0.9426374,0.3351383,0.149190,0.035741,0.055094,0.152756,1340.0591,2025-01-18 08:00:05.600,18.92456,24.17966
1340.0071,2025-01-18 08:00:05.800,19.03060,23.47365,,,-0.3197067,0.8914815,0.3094021,-0.3368626,-0.0628148,0.8410757,0.0794,-0.2245,0.1770,0.9437827,0.3279797,,,,,1340.0621,2025-01-18 08:00:05.800,18.98479,23.80352
